student_id,subject_id,semester,marks_obtained,max_marks
ST021,SUB03,1,42,100
ST021,SUB04,1,48,100
ST021,SUB05,1,69,100
ST022,SUB01,1,41,100
ST022,SUB02,1,41,100
ST022,SUB03,1,80,100
ST022,SUB04,1,95,100
ST022,SUB05,1,69,100
ST023,SUB01,1,94,100
ST023,SUB02,1,45,100
ST023,SUB03,1,71,100
ST023,SUB04,1,91,100
ST023,SUB05,1,50,100
ST024,SUB01,1,51,100
ST024,SUB02,1,40,100
ST024,SUB03,1,42,100
ST024,SUB04,1,57,100
ST024,SUB05,1,51,100
ST025,SUB01,1,62,100
ST025,SUB02,1,80,100
ST025,SUB03,1,87,100
ST025,SUB04,1,51,100
ST025,SUB05,1,80,100
ST026,SUB01,1,68,100
ST026,SUB02,1,75,100
ST026,SUB03,1,100,100
ST026,SUB04,1,97,100
ST026,SUB05,1,48,100
ST027,SUB01,1,84,100
ST027,SUB02,1,95,100
ST027,SUB03,1,54,100
ST027,SUB04,1,40,100
ST027,SUB05,1,99,100
ST028,SUB01,1,50,100
ST028,SUB02,1,63,100
ST028,SUB03,1,94,100
ST028,SUB04,1,94,100
ST028,SUB05,1,58,100
ST029,SUB01,1,87,100
ST029,SUB02,1,65,100
ST029,SUB03,1,48,100
ST029,SUB04,1,80,100
ST029,SUB05,1,53,100
ST030,SUB01,1,77,100
ST030,SUB02,1,67,100
ST030,SUB03,1,93,100
ST030,SUB04,1,49,100
ST030,SUB05,1,79,100
ST031,SUB01,1,86,100
ST031,SUB02,1,68,100
ST031,SUB03,1,78,100
ST031,SUB04,1,51,100
ST031,SUB05,1,68,100
ST032,SUB01,1,91,100
ST032,SUB02,1,81,100
ST032,SUB03,1,86,100
ST032,SUB04,1,46,100
ST032,SUB05,1,75,100
ST033,SUB01,1,89,100
ST033,SUB02,1,68,100
ST033,SUB03,1,56,100
ST033,SUB04,1,71,100
ST033,SUB05,1,68,100
ST034,SUB01,1,97,100
ST034,SUB02,1,59,100
ST034,SUB03,1,68,100
ST034,SUB04,1,91,100
ST034,SUB05,1,42,100
ST035,SUB01,1,71,100
ST035,SUB02,1,83,100
ST035,SUB03,1,81,100
ST035,SUB04,1,45,100
ST035,SUB05,1,90,100
ST036,SUB01,1,77,100
ST036,SUB02,1,98,100
ST036,SUB03,1,41,100
ST036,SUB04,1,92,100
ST036,SUB05,1,41,100
ST037,SUB01,1,49,100
ST037,SUB02,1,62,100
ST037,SUB03,1,59,100
ST037,SUB04,1,61,100
ST037,SUB05,1,79,100
ST038,SUB01,1,92,100
ST038,SUB02,1,87,100
ST038,SUB03,1,73,100
ST038,SUB04,1,96,100
ST038,SUB05,1,51,100
ST039,SUB01,1,44,100
ST039,SUB02,1,100,100
ST039,SUB03,1,51,100
ST039,SUB04,1,97,100
ST039,SUB05,1,90,100
ST040,SUB01,1,89,100
ST040,SUB02,1,84,100
ST040,SUB03,1,44,100
ST040,SUB04,1,55,100
ST040,SUB05,1,50,100
ST041,SUB01,1,83,100
ST041,SUB02,1,68,100
ST041,SUB03,1,42,100
ST041,SUB04,1,86,100
ST041,SUB05,1,78,100
ST042,SUB01,1,55,100
ST042,SUB02,1,64,100
ST042,SUB03,1,89,100
ST042,SUB04,1,56,100
ST042,SUB05,1,42,100
ST043,SUB01,1,75,100
ST043,SUB02,1,50,100
ST043,SUB03,1,47,100
ST043,SUB04,1,69,100
ST043,SUB05,1,45,100
ST044,SUB01,1,60,100
ST044,SUB02,1,54,100
ST044,SUB03,1,68,100
ST044,SUB04,1,62,100
ST044,SUB05,1,56,100
ST045,SUB01,1,57,100
ST045,SUB02,1,49,100
ST045,SUB03,1,70,100
ST045,SUB04,1,78,100
ST045,SUB05,1,46,100
ST046,SUB01,1,46,100
ST046,SUB02,1,68,100
ST046,SUB03,1,81,100
ST046,SUB04,1,92,100
ST046,SUB05,1,77,100
ST047,SUB01,1,84,100
ST047,SUB02,1,51,100
ST047,SUB03,1,98,100
ST047,SUB04,1,84,100
ST047,SUB05,1,97,100
ST048,SUB01,1,53,100
ST048,SUB02,1,79,100
ST048,SUB03,1,45,100
ST048,SUB04,1,99,100
ST048,SUB05,1,84,100
ST049,SUB01,1,100,100
ST049,SUB02,1,91,100
ST049,SUB03,1,76,100
ST049,SUB04,1,83,100
ST049,SUB05,1,100,100
ST050,SUB01,1,84,100
ST050,SUB02,1,47,100
ST050,SUB03,1,60,100
ST050,SUB04,1,51,100
ST050,SUB05,1,100,100
ST051,SUB01,1,65,100
ST051,SUB02,1,72,100
ST051,SUB03,1,66,100
ST051,SUB04,1,62,100
ST051,SUB05,1,62,100
ST052,SUB01,1,97,100
ST052,SUB02,1,45,100
ST052,SUB03,1,82,100
ST052,SUB04,1,98,100
ST052,SUB05,1,95,100
ST053,SUB01,1,99,100
ST053,SUB02,1,72,100
ST053,SUB03,1,59,100
ST053,SUB04,1,66,100
ST053,SUB05,1,79,100
ST054,SUB01,1,88,100
ST054,SUB02,1,75,100
ST054,SUB03,1,78,100
ST054,SUB04,1,83,100
ST054,SUB05,1,76,100
ST055,SUB01,1,44,100
ST055,SUB02,1,63,100
ST055,SUB03,1,51,100
ST055,SUB04,1,98,100
ST055,SUB05,1,62,100
ST056,SUB01,1,59,100
ST056,SUB02,1,62,100
ST056,SUB03,1,72,100
ST056,SUB04,1,64,100
ST056,SUB05,1,66,100
ST057,SUB01,1,77,100
ST057,SUB02,1,86,100
ST057,SUB03,1,83,100
ST057,SUB04,1,85,100
ST057,SUB05,1,75,100
ST058,SUB01,1,76,100
ST058,SUB02,1,74,100
ST058,SUB03,1,96,100
ST058,SUB04,1,52,100
ST058,SUB05,1,91,100
ST059,SUB01,1,47,100
ST059,SUB02,1,49,100
ST059,SUB03,1,66,100
ST059,SUB04,1,40,100
ST059,SUB05,1,98,100
ST060,SUB01,1,99,100
ST060,SUB02,1,83,100
ST060,SUB03,1,46,100
ST060,SUB04,1,96,100
ST060,SUB05,1,53,100
ST061,SUB01,1,81,100
ST061,SUB02,1,81,100
ST061,SUB03,1,69,100
ST061,SUB04,1,49,100
ST061,SUB05,1,48,100
ST062,SUB01,1,90,100
ST062,SUB02,1,77,100
ST062,SUB03,1,54,100
ST062,SUB04,1,49,100
ST062,SUB05,1,95,100
ST063,SUB01,1,90,100
ST063,SUB02,1,52,100
ST063,SUB03,1,91,100
ST063,SUB04,1,64,100
ST063,SUB05,1,93,100
ST064,SUB01,1,80,100
ST064,SUB02,1,73,100
ST064,SUB03,1,75,100
ST064,SUB04,1,71,100
ST064,SUB05,1,44,100
ST065,SUB01,1,78,100
ST065,SUB02,1,58,100
ST065,SUB03,1,49,100
ST065,SUB04,1,90,100
ST065,SUB05,1,90,100
ST066,SUB01,1,67,100
ST066,SUB02,1,85,100
ST066,SUB03,1,82,100
ST066,SUB04,1,61,100
ST066,SUB05,1,99,100
ST067,SUB01,1,98,100
ST067,SUB02,1,53,100
ST067,SUB03,1,70,100
ST067,SUB04,1,62,100
ST067,SUB05,1,59,100
ST068,SUB01,1,86,100
ST068,SUB02,1,53,100
ST068,SUB03,1,84,100
ST068,SUB04,1,95,100
ST068,SUB05,1,84,100
ST069,SUB01,1,50,100
ST069,SUB02,1,44,100
ST069,SUB03,1,86,100
ST069,SUB04,1,49,100
ST069,SUB05,1,88,100
ST070,SUB01,1,68,100
ST070,SUB02,1,45,100
ST070,SUB03,1,66,100
ST070,SUB04,1,82,100
ST070,SUB05,1,56,100
ST071,SUB01,1,46,100
ST071,SUB02,1,87,100
ST071,SUB03,1,71,100
ST071,SUB04,1,73,100
ST071,SUB05,1,92,100
ST072,SUB01,1,97,100
ST072,SUB02,1,72,100
ST072,SUB03,1,43,100
ST072,SUB04,1,100,100
ST072,SUB05,1,80,100
ST073,SUB01,1,95,100
ST073,SUB02,1,66,100
ST073,SUB03,1,55,100
ST073,SUB04,1,99,100
ST073,SUB05,1,71,100
ST074,SUB01,1,81,100
ST074,SUB02,1,70,100
ST074,SUB03,1,88,100
ST074,SUB04,1,60,100
ST074,SUB05,1,67,100
ST075,SUB01,1,56,100
ST075,SUB02,1,96,100
ST075,SUB03,1,40,100
ST075,SUB04,1,53,100
ST075,SUB05,1,45,100
ST076,SUB01,1,84,100
ST076,SUB02,1,81,100
ST076,SUB03,1,76,100
ST076,SUB04,1,58,100
ST076,SUB05,1,61,100
ST077,SUB01,1,46,100
ST077,SUB02,1,50,100
ST077,SUB03,1,62,100
ST077,SUB04,1,51,100
ST077,SUB05,1,46,100
ST078,SUB01,1,99,100
ST078,SUB02,1,51,100
ST078,SUB03,1,75,100
ST078,SUB04,1,89,100
ST078,SUB05,1,41,100
ST079,SUB01,1,48,100
ST079,SUB02,1,86,100
ST079,SUB03,1,71,100
ST079,SUB04,1,79,100
ST079,SUB05,1,50,100
ST080,SUB01,1,80,100
ST080,SUB02,1,42,100
ST080,SUB03,1,69,100
ST080,SUB04,1,90,100
ST080,SUB05,1,89,100
ST081,SUB01,1,80,100
ST081,SUB02,1,95,100
ST081,SUB03,1,50,100
ST081,SUB04,1,96,100
ST081,SUB05,1,70,100
ST082,SUB01,1,46,100
ST082,SUB02,1,78,100
ST082,SUB03,1,90,100
ST082,SUB04,1,87,100
ST082,SUB05,1,63,100
ST083,SUB01,1,64,100
ST083,SUB02,1,88,100
ST083,SUB03,1,71,100
ST083,SUB04,1,82,100
ST083,SUB05,1,65,100
ST084,SUB01,1,73,100
ST084,SUB02,1,77,100
ST084,SUB03,1,44,100
ST084,SUB04,1,85,100
ST084,SUB05,1,83,100
ST085,SUB01,1,49,100
ST085,SUB02,1,58,100
ST085,SUB03,1,76,100
ST085,SUB04,1,56,100
ST085,SUB05,1,66,100
ST086,SUB01,1,51,100
ST086,SUB02,1,63,100
ST086,SUB03,1,57,100
ST086,SUB04,1,47,100
ST086,SUB05,1,76,100
ST087,SUB01,1,94,100
ST087,SUB02,1,88,100
ST087,SUB03,1,46,100
ST087,SUB04,1,54,100
ST087,SUB05,1,75,100
ST088,SUB01,1,85,100
ST088,SUB02,1,46,100
ST088,SUB03,1,46,100
ST088,SUB04,1,48,100
ST088,SUB05,1,95,100
ST089,SUB01,1,72,100
ST089,SUB02,1,72,100
ST089,SUB03,1,64,100
ST089,SUB04,1,96,100
ST089,SUB05,1,55,100
ST090,SUB01,1,81,100
ST090,SUB02,1,48,100
ST090,SUB03,1,99,100
ST090,SUB04,1,59,100
ST090,SUB05,1,87,100
ST091,SUB01,1,59,100
ST091,SUB02,1,48,100
ST091,SUB03,1,70,100
ST091,SUB04,1,78,100
ST091,SUB05,1,81,100
ST092,SUB01,1,54,100
ST092,SUB02,1,48,100
ST092,SUB03,1,78,100
ST092,SUB04,1,77,100
ST092,SUB05,1,59,100
ST093,SUB01,1,56,100
ST093,SUB02,1,70,100
ST093,SUB03,1,75,100
ST093,SUB04,1,89,100
ST093,SUB05,1,96,100
ST094,SUB01,1,60,100
ST094,SUB02,1,92,100
ST094,SUB03,1,86,100
ST094,SUB04,1,59,100
ST094,SUB05,1,89,100
ST095,SUB01,1,98,100
ST095,SUB02,1,90,100
ST095,SUB03,1,89,100
ST095,SUB04,1,100,100
ST095,SUB05,1,52,100
ST096,SUB01,1,59,100
ST096,SUB02,1,42,100
ST096,SUB03,1,40,100
ST096,SUB04,1,58,100
ST096,SUB05,1,65,100
ST097,SUB01,1,61,100
ST097,SUB02,1,86,100
ST097,SUB03,1,84,100
ST097,SUB04,1,62,100
ST097,SUB05,1,92,100
ST098,SUB01,1,99,100
ST098,SUB02,1,51,100
ST098,SUB03,1,82,100
ST098,SUB04,1,61,100
ST098,SUB05,1,96,100
ST099,SUB01,1,57,100
ST099,SUB02,1,88,100
ST099,SUB03,1,98,100
ST099,SUB04,1,77,100
ST099,SUB05,1,47,100
ST100,SUB01,1,83,100
ST100,SUB02,1,51,100
ST100,SUB03,1,85,100
ST100,SUB04,1,57,100
ST100,SUB05,1,100,100
